#,Publication Date (Month Year),Study region,Author Lead,Title,Link
1,23-Aug,Fiji,Ashwini R Malipatil,Investigation and Monitoring Deforestation by Evaluating the Satellite Images and Machine Learning,https://ieeexplore.ieee.org/document/10199460/keywords#keywords
2,23-Jul,Southeast Asia,Yang Feng,Improved fine-scale tropical forest cover mapping for Southeast Asia using Planet-NICFI and Sentinel-1 imagery,https://spj.science.org/doi/pdf/10.34133/remotesensing.0064
3,23-Jul,,Lily Xu,Reflections from the Workshop on AI-Assisted Decision Making for Conservation,https://arxiv.org/pdf/2307.08774.pdf
4,23-Aug,,Kelsey E. Herndon,Google Earth Engine for archaeologists: An updated look at the progress and promise of remotely sensed big data,https://www.sciencedirect.com/science/article/pii/S2352409X23002699
5,23-Jul,Brazil,Édson Luis Bolfe,Mapping Agricultural Intensification in the Brazilian Savanna: A Machine Learning Approach Using Harmonized Data from Landsat Sentinel-2,https://www.mdpi.com/2220-9964/12/7/263
6,23-Jun,Southeast Asia; South Asia; the Pacific Islands; West Africa; Central Africa; the Americas ,You Xu,High-resolution global mature and young oil palm plantation subclass maps for 2020,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2023.2220612
7,23-Sep,Surinam; Republic of Congo; Democratic Republic of Congo,Bart Slagter, Monitoring direct drivers of small-scale tropical forest disturbance in near real-time with Sentinel-1 and -2 data,https://www.sciencedirect.com/science/article/pii/S0034425723002067#s0010
8,23-Jun,Tanzania,Sami Madundo,Comparison of multi-source remote sensing data for estimating and mapping above-ground biomass in the West Usambara tropical montane forests,https://www.sciencedirect.com/science/article/pii/S2468227623002193
9,23-Apr,Brazil,Carlos Roberto Mangussi Filho,The Accuracy of Land Use and Cover Mapping across Time in Environmental Disaster Zones: The Case of the B1 Tailings Dam Rupture in Brumadinho; Brazil,https://www.mdpi.com/2071-1050/15/8/6949
10,23-Apr,Colombia,John Josephraj Selvaraj,"An enhanced approach to mangrove forest analysis in the Colombian Pacific coast using optical and SAR data in Google Earth Engine",https://www.sciencedirect.com/science/article/abs/pii/S2352938523000204
11,22-May,sub-Saharan Africa,Amandine Debus,Using deep learning and newly open-access high-resolution data from PlanetScope to detect the specific drivers of deforestation in sub-Saharan Africa: opportunities and challenges,
12,22-Jun,Amazon,Caio Arlanche Petri,Solar illumination effects on the dry-season variability of spectral and spatial attributes calculated from PlanetScope data over tropical forests of the Amazon,https://www.tandfonline.com/doi/full/10.1080/01431161.2022.2106801
13,22-Nov,India,Sherrie Wang,Unlocking Large-Scale Crop Field Delineation in Smallholder Farming Systems with Transfer Learning and Weak Supervision,https://www.mdpi.com/2072-4292/14/22/5738
14,23-Apr,Democratic Republic of the Congo,Casey Slaught,Cloud-Based Remote Sensing for Conservation,https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/27155/Casey%20Slaught%20-%20MP%20Report%20Final.pdf?sequence=1
15,23-May,Africa,Lei Song,Combining Spatially-Explicit Simulation of Animal Movement and Earth Observation to Reconcile Agriculture and Wildlife Conservation - ProQuest,https://www.proquest.com/openview/d7a28e2a19a51c7eb73d10b201331686/1?pq-origsite=gscholar&cbl=18750&diss=y
16,22-Dec,Brazil,Diogo Nunes  Gonçalves,Transformers for mapping burned areas in Brazilian Pantanal and Amazon with PlanetScope imagery,https://www.sciencedirect.com/science/article/pii/S1569843222003399?via%3Dihub
17,21-Dec,Central America,Emil Cherrington,Implications of the Golden Age of Remote Sensing on Earth Observation Applications in Central America,https://ui.adsabs.harvard.edu/abs/2021AGUFMSY34A..02C/abstract
18,23-Feb,Seychelles,Chengfa Benjamin Lee,See Seagrass from Space: From Analysis-Ready PlanetScope Satellite Imagery to Nationwide Seagrass Maps for the Nationally Determined Contributions of Seychelles,https://meetingorganizer.copernicus.org/EGU23/EGU23-12753.html
19,23-Apr,Colombia,and IUCN-NL AidEnvironment,Uncovering the supply chain palm oil from Colombia to the EU,
20,23-Mar,Congo Basin,Anne-Juul Welsink,Towards the use of satellite-based tropical forest disturbance alerts to assess selective logging intensities,https://iopscience.iop.org/article/10.1088/1748-9326/acd018/pdf
21,23-Apr,Southeast Asia,Yang Feng,Refined mapping of tree cover at fine-scale using time-series Planet-NICFI and Sentinel-1 imagery for Southeast Asia (2016–2021),https://essd.copernicus.org/preprints/essd-2023-143/
22,23-Jul,Global,Romain Pirard,Estimations of REDD+ opportunity costs: Aligning methods with objectives,https://www.sciencedirect.com/science/article/abs/pii/S1462901123000977
23,23-Apr,Brazil,Paulino Rejane S.,MAPPING THE HYDROLOGICAL CONNECTIVITY OF FLOODPLAIN LAKES USING PLANET MOSAICS: AN EXPLORATORY ANALYSIS,https://proceedings.science/sbsr-2023/papers/mapping-the-hydrological-connectivity-of-floodplain-lakes-using-planet-mosaics-a?lang=en
24,23-Apr,Brazil,Ricardo Dalagnol,QUANTIFYING CARBON LOSS AT FORESTS DEGRADED BY LOGGING WITH REPEATED AIRBORNE LIDAR DATA IN THE BRAZILIAN AMAZON,https://proceedings.science/sbsr-2023/papers/quantifying-carbon-loss-at-forests-degraded-by-logging-with-repeated-airborne-li?lang=en#
25,23-Feb,Colombia,Jhon Eric Aunta Duarte,USING SENTINEL-1 TIME SERIES FOR MONITORING DEFORESTATION IN REGIONS WITH HIGH PRECIPITATION RATE,https://run.unl.pt/bitstream/10362/150968/1/TGEO280.pdf
26,23-Mar,,Catherine Nakalembe,Considerations for AI-EO for agriculture in Sub-Saharan Africa,https://iopscience.iop.org/article/10.1088/1748-9326/acc476
27,23-Feb,,H. Gijs J. Van den Dool,Satellite data as a predictor for monitoring tree health and stress in reforestation projects,https://meetingorganizer.copernicus.org/EGU23/EGU23-13481.html
28,20-Jan,Brazil,William Høie,The Brazil-Norway Amazon agreement: A game-theoretic analysis,https://www.duo.uio.no/bitstream/handle/10852/80081/7/Master-William-H-ie.pdf
29,20-Jan,,David Brown,A multiscalar and justice-led analysis of REDD+: a case study of the Norwegianâ€“Ethiopian partnership,https://ideas.repec.org/a/tpr/glenvp/v20y2020i1p11-37.html
30,20-Oct,Indonesia,N. Haeda,Indonesia-Norway cooperation in reducing emission from deforestation and degradation framework: a case study of Central Kalimantan forest,https://iopscience.iop.org/article/10.1088/1755-1315/575/1/012155
31,21-Jan,Fiji,Swan Mark ,Machine Learning for Monitoring Forest Restoration,https://project-archive.inf.ed.ac.uk/ug4/20212136/ug4_proj.pdf
32,21-Feb,Global,Tor A. Benjaminsen,Climate Mitigation Choices: Reducing Deforestation in the Global South Versus Reducing Fossil Fuel Production at Home,https://link.springer.com/chapter/10.1007/978-3-030-56036-2_6
33,21-Oct,Thailand,Poortinga Ate,Mapping sugarcane in Thailand using transfer learning; a lightweight convolutional neural network; NICFI high resolution satellite imagery and Google Earth Engine,https://doi.org/10.1016/j.ophoto.2021.100003
34,21-Dec,Africa; Sahel region,Tong Xiaoye,Mapping Sahelian Cropland at Active and Fallow Field Level With NICFI Planet Basemap,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/931516
35,21-Dec,Nigeria,Ali Hanan Abou,A Deep Learning Approach to Agricultural Field Delineation in Nigeria,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/877633
36,21-Dec,Global,Roy Samapriya,High-Res for Tropical Forests: The NICFI Data Program,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/970904
37,21-Dec,Thailand,Soe Thwal Nyein,Transfer Learning Approach for Sugarcane Mapping in Thailand with NICFI High-resolution Satellite Imagery leveraging Google Earth Engine,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/926831
38,21-Dec,Brazil,Pacheco Flávia  Domingos,Image Classification Methods Assessment for Identification of Small-Scale Agriculture in Brazilian Amazon,https://www.thinkmind.org/articles/geoprocessing_2021_1_40_30034.pdf
39,22-Jan,Colombia,Sergio Mauricio Molano,Evaluación del retroceso glaciar de la Sierra Nevada del Cocuy; Colombia a partir de la clasificación de imágenes multisensor,http://www.scielo.org.co/scielo.php?script=sci_abstract&pid=S0120-02832022000100049&lng=en&nrm=iso&tlng=es
40,22-Mar,Peru; Gabon,Chiara Aquino,Mapping small-scale tropical forest disturbances using SAR and optical satellite imagery,https://era.ed.ac.uk/handle/1842/40446
